[04/03/20 09:47:35.566][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682148, Latitude:115291887, Altitude:1337, CarAngle:156.500000
[04/03/20 09:47:35.576][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682140, Latitude:115291890, Altitude:1337, CarAngle:156.600006
[04/03/20 09:47:35.598][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682140, Latitude:115291890, Altitude:1337, CarAngle:156.600006
[04/03/20 09:47:35.608][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682140, Latitude:115291890, Altitude:1337, CarAngle:156.600006
[04/03/20 09:47:35.619][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682140, Latitude:115291890, Altitude:1337, CarAngle:156.600006
[04/03/20 09:47:35.629][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682140, Latitude:115291890, Altitude:1337, CarAngle:156.600006
[04/03/20 09:47:35.639][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682118, Latitude:115291899, Altitude:1337, CarAngle:156.699997
[04/03/20 09:47:35.650][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682118, Latitude:115291899, Altitude:1337, CarAngle:156.699997
[04/03/20 09:47:35.660][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682110, Latitude:115291901, Altitude:1336, CarAngle:156.699997
[04/03/20 09:47:35.702][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682097, Latitude:115291906, Altitude:1336, CarAngle:156.800003
[04/03/20 09:47:35.712][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682095, Latitude:115291907, Altitude:1336, CarAngle:156.800003
[04/03/20 09:47:35.723][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682095, Latitude:115291907, Altitude:1336, CarAngle:156.800003
[04/03/20 09:47:35.734][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682088, Latitude:115291910, Altitude:1336, CarAngle:156.900009
[04/03/20 09:47:35.745][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682082, Latitude:115291912, Altitude:1336, CarAngle:156.900009
[04/03/20 09:47:35.757][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682082, Latitude:115291912, Altitude:1336, CarAngle:156.900009
[04/03/20 09:47:35.767][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682080, Latitude:115291913, Altitude:1336, CarAngle:156.900009
[04/03/20 09:47:35.788][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682073, Latitude:115291915, Altitude:1336, CarAngle:157.000000
[04/03/20 09:47:35.799][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682073, Latitude:115291915, Altitude:1336, CarAngle:157.000000
[04/03/20 09:47:35.809][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682059, Latitude:115291921, Altitude:1336, CarAngle:157.000000
[04/03/20 09:47:35.820][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682059, Latitude:115291921, Altitude:1336, CarAngle:157.000000
[04/03/20 09:47:35.830][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682052, Latitude:115291923, Altitude:1336, CarAngle:157.100006
[04/03/20 09:47:35.841][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682052, Latitude:115291923, Altitude:1336, CarAngle:157.100006
[04/03/20 09:47:35.851][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682052, Latitude:115291923, Altitude:1336, CarAngle:157.100006
[04/03/20 09:47:35.862][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682044, Latitude:115291926, Altitude:1336, CarAngle:157.100006
[04/03/20 09:47:35.872][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682035, Latitude:115291929, Altitude:1336, CarAngle:157.199997
[04/03/20 09:47:35.883][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682035, Latitude:115291929, Altitude:1336, CarAngle:157.199997
[04/03/20 09:47:35.893][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682029, Latitude:115291931, Altitude:1336, CarAngle:157.199997
[04/03/20 09:47:35.904][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682029, Latitude:115291931, Altitude:1336, CarAngle:157.199997
[04/03/20 09:47:35.915][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682022, Latitude:115291934, Altitude:1335, CarAngle:157.300003
[04/03/20 09:47:35.925][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682022, Latitude:115291934, Altitude:1335, CarAngle:157.300003
[04/03/20 09:47:35.946][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682012, Latitude:115291937, Altitude:1335, CarAngle:157.300003
[04/03/20 09:47:35.967][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446682007, Latitude:115291939, Altitude:1335, CarAngle:157.300003
[04/03/20 09:47:35.978][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681999, Latitude:115291942, Altitude:1335, CarAngle:157.400009
[04/03/20 09:47:35.998][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681997, Latitude:115291942, Altitude:1335, CarAngle:157.400009
[04/03/20 09:47:36.009][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681997, Latitude:115291942, Altitude:1335, CarAngle:157.400009
[04/03/20 09:47:36.019][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681990, Latitude:115291945, Altitude:1335, CarAngle:157.400009
[04/03/20 09:47:36.030][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681990, Latitude:115291945, Altitude:1335, CarAngle:157.400009
[04/03/20 09:47:36.040][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681982, Latitude:115291950, Altitude:1335, CarAngle:157.500000
[04/03/20 09:47:36.051][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681974, Latitude:115291950, Altitude:1335, CarAngle:157.500000
[04/03/20 09:47:36.061][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681967, Latitude:115291953, Altitude:1335, CarAngle:157.600006
[04/03/20 09:47:36.072][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681967, Latitude:115291953, Altitude:1335, CarAngle:157.600006
[04/03/20 09:47:36.082][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681967, Latitude:115291953, Altitude:1335, CarAngle:157.600006
[04/03/20 09:47:36.093][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681959, Latitude:115291956, Altitude:1335, CarAngle:157.600006
[04/03/20 09:47:36.104][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681954, Latitude:115291958, Altitude:1335, CarAngle:157.600006
[04/03/20 09:47:36.115][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681954, Latitude:115291958, Altitude:1335, CarAngle:157.600006
[04/03/20 09:47:36.125][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681946, Latitude:115291960, Altitude:1335, CarAngle:157.699997
[04/03/20 09:47:36.137][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681946, Latitude:115291960, Altitude:1335, CarAngle:157.699997
[04/03/20 09:47:36.148][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681937, Latitude:115291964, Altitude:1335, CarAngle:157.699997
[04/03/20 09:47:36.158][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681937, Latitude:115291964, Altitude:1335, CarAngle:157.699997
[04/03/20 09:47:36.169][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681931, Latitude:115291966, Altitude:1334, CarAngle:157.800003
[04/03/20 09:47:36.179][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681931, Latitude:115291966, Altitude:1334, CarAngle:157.800003
[04/03/20 09:47:36.189][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681924, Latitude:115291969, Altitude:1334, CarAngle:157.800003
[04/03/20 09:47:36.210][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681914, Latitude:115291972, Altitude:1334, CarAngle:157.900009
[04/03/20 09:47:36.221][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681914, Latitude:115291972, Altitude:1334, CarAngle:157.900009
[04/03/20 09:47:36.252][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681901, Latitude:115291976, Altitude:1334, CarAngle:157.900009
[04/03/20 09:47:36.262][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681901, Latitude:115291976, Altitude:1334, CarAngle:157.900009
[04/03/20 09:47:36.273][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681893, Latitude:115291979, Altitude:1334, CarAngle:158.000000
[04/03/20 09:47:36.283][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681893, Latitude:115291979, Altitude:1334, CarAngle:158.000000
[04/03/20 09:47:36.294][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681893, Latitude:115291979, Altitude:1334, CarAngle:158.000000
[04/03/20 09:47:36.304][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681893, Latitude:115291979, Altitude:1334, CarAngle:158.000000
[04/03/20 09:47:36.314][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681884, Latitude:115291982, Altitude:1334, CarAngle:158.000000
[04/03/20 09:47:36.326][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681884, Latitude:115291982, Altitude:1334, CarAngle:158.000000
[04/03/20 09:47:36.336][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681876, Latitude:115291985, Altitude:1334, CarAngle:158.100006
[04/03/20 09:47:36.347][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681869, Latitude:115291988, Altitude:1334, CarAngle:158.100006
[04/03/20 09:47:36.358][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681869, Latitude:115291988, Altitude:1334, CarAngle:158.100006
[04/03/20 09:47:36.368][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681861, Latitude:115291990, Altitude:1334, CarAngle:158.199997
[04/03/20 09:47:36.379][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681855, Latitude:115291992, Altitude:1334, CarAngle:158.199997
[04/03/20 09:47:36.391][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681853, Latitude:115291993, Altitude:1334, CarAngle:158.199997
[04/03/20 09:47:36.403][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681848, Latitude:115291995, Altitude:1334, CarAngle:158.300003
[04/03/20 09:47:36.413][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681846, Latitude:115291995, Altitude:1334, CarAngle:158.300003
[04/03/20 09:47:36.424][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681846, Latitude:115291995, Altitude:1334, CarAngle:158.300003
[04/03/20 09:47:36.434][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681838, Latitude:115291998, Altitude:1334, CarAngle:158.300003
[04/03/20 09:47:36.445][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681832, Latitude:115292000, Altitude:1334, CarAngle:158.300003
[04/03/20 09:47:36.457][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681830, Latitude:115292001, Altitude:1334, CarAngle:158.300003
[04/03/20 09:47:36.467][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681830, Latitude:115292001, Altitude:1334, CarAngle:158.300003
[04/03/20 09:47:36.478][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681830, Latitude:115292001, Altitude:1334, CarAngle:158.300003
[04/03/20 09:47:36.498][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681817, Latitude:115292005, Altitude:1334, CarAngle:158.400009
[04/03/20 09:47:36.511][E][15418][15447][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446681817, Latitude:115292005, Altitude:1334, CarAngle:158.400009
