[04/04/20 22:01:17.027][I][3522][3522][KHighAccuracyData_ByNDS_Plugin.cpp][PrintNDSDataInfo] data version:NDS-2.5.1,LANEAUX-1.8,LANDMARK-1.3. compiler version:KMCompilerV3.11.2. creation datatime:2019-12-28 10:33:35
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Distance Threshold:20.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Altitude Threshold:2.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Angle Threshold:181.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Log:0
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Use Altitude:1
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Dis2RouteThreshold:2.000000
[04/04/20 22:01:22.242][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353587, Latitude:113801369, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.268][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353580, Latitude:113801375, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.280][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353577, Latitude:113801378, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.294][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353574, Latitude:113801381, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.312][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353567, Latitude:113801387, Altitude:2516, CarAngle:134.600006
[04/04/20 22:01:22.323][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353563, Latitude:113801390, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.396][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353550, Latitude:113801402, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.433][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353540, Latitude:113801411, Altitude:2516, CarAngle:134.600006
[04/04/20 22:01:22.461][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353533, Latitude:113801417, Altitude:2516, CarAngle:134.500000
[04/04/20 22:01:22.477][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353526, Latitude:113801423, Altitude:2516, CarAngle:134.500000
[04/04/20 22:01:22.520][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353520, Latitude:113801429, Altitude:2516, CarAngle:134.500000
[04/04/20 22:01:22.530][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353516, Latitude:113801432, Altitude:2516, CarAngle:134.500000
