[03/22/20 19:57:59.524][I][7761][7761][KHighAccuracyData_ByNDS_Plugin.cpp][PrintNDSDataInfo] data version:NDS-2.5.1,LANEAUX-1.8,LANDMARK-1.3. compiler version:KMCompilerV3.11.2. creation datatime:2020-01-07 14:27:09
[03/22/20 19:58:02.345][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:02.355][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319705
[03/22/20 19:58:02.406][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319705
[03/22/20 19:58:02.421][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319705
[03/22/20 19:58:02.434][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319705
[03/22/20 19:58:02.449][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319705
[03/22/20 19:58:02.531][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663298,Lat:115319705
[03/22/20 19:58:02.547][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663298,Lat:115319705
[03/22/20 19:58:02.594][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663298,Lat:115319706
[03/22/20 19:58:02.634][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663298,Lat:115319706
[03/22/20 19:58:02.650][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663299,Lat:115319706
[03/22/20 19:58:02.664][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663299,Lat:115319706
[03/22/20 19:58:02.675][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663299,Lat:115319706
[03/22/20 19:58:02.686][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663299,Lat:115319706
[03/22/20 19:58:02.697][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663299,Lat:115319706
[03/22/20 19:58:02.709][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663299,Lat:115319706
[03/22/20 19:58:02.720][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663299,Lat:115319706
[03/22/20 19:58:02.731][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663299,Lat:115319706
[03/22/20 19:58:02.741][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663299,Lat:115319706
[03/22/20 19:58:02.850][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663301,Lat:115319706
[03/22/20 19:58:02.865][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663302,Lat:115319706
[03/22/20 19:58:02.877][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663302,Lat:115319706
[03/22/20 19:58:02.906][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663304,Lat:115319706
[03/22/20 19:58:02.920][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663304,Lat:115319706
[03/22/20 19:58:02.946][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663305,Lat:115319706
[03/22/20 19:58:02.999][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663307,Lat:115319707
[03/22/20 19:58:03.039][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663308,Lat:115319707
[03/22/20 19:58:03.089][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663309,Lat:115319707
[03/22/20 19:58:03.181][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663312,Lat:115319708
[03/22/20 19:58:03.243][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663316,Lat:115319708
[03/22/20 19:58:03.290][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663319,Lat:115319709
[03/22/20 19:58:03.306][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663320,Lat:115319709
[03/22/20 19:58:03.354][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663324,Lat:115319709
[03/22/20 19:58:03.400][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663326,Lat:115319710
[03/22/20 19:58:03.473][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663331,Lat:115319710
[03/22/20 19:58:03.487][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663332,Lat:115319711
[03/22/20 19:58:03.519][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663333,Lat:115319711
[03/22/20 19:58:03.564][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663336,Lat:115319711
[03/22/20 19:58:03.580][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663337,Lat:115319711
[03/22/20 19:58:03.656][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663341,Lat:115319712
[03/22/20 19:58:03.674][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663343,Lat:115319712
[03/22/20 19:58:03.728][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663347,Lat:115319713
[03/22/20 19:58:03.789][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663350,Lat:115319713
[03/22/20 19:58:03.846][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663353,Lat:115319714
[03/22/20 19:58:03.882][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663355,Lat:115319715
[03/22/20 19:58:03.917][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663357,Lat:115319715
[03/22/20 19:58:03.931][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663357,Lat:115319715
[03/22/20 19:58:03.973][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663361,Lat:115319716
[03/22/20 19:58:04.024][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663364,Lat:115319716
[03/22/20 19:58:04.071][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663366,Lat:115319717
[03/22/20 19:58:04.087][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663367,Lat:115319717
[03/22/20 19:58:04.131][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663371,Lat:115319718
[03/22/20 19:58:04.146][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663370,Lat:115319718
[03/22/20 19:58:04.160][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663373,Lat:115319719
[03/22/20 19:58:04.227][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663376,Lat:115319719
[03/22/20 19:58:04.243][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663377,Lat:115319720
[03/22/20 19:58:04.267][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663378,Lat:115319720
[03/22/20 19:58:04.344][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663384,Lat:115319721
[03/22/20 19:58:04.360][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663385,Lat:115319722
[03/22/20 19:58:04.427][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663389,Lat:115319723
[03/22/20 19:58:04.484][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663392,Lat:115319723
[03/22/20 19:58:04.499][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663395,Lat:115319724
[03/22/20 19:58:04.532][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663396,Lat:115319725
[03/22/20 19:58:04.589][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663400,Lat:115319726
[03/22/20 19:58:04.604][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663401,Lat:115319726
[03/22/20 19:58:04.619][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663401,Lat:115319726
[03/22/20 19:58:04.657][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663405,Lat:115319727
[03/22/20 19:58:04.693][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663406,Lat:115319728
[03/22/20 19:58:04.709][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663406,Lat:115319728
[03/22/20 19:58:04.739][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663410,Lat:115319729
[03/22/20 19:58:04.754][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663411,Lat:115319729
[03/22/20 19:58:04.808][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663416,Lat:115319730
[03/22/20 19:58:04.841][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663419,Lat:115319730
[03/22/20 19:58:04.887][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663420,Lat:115319731
[03/22/20 19:58:04.902][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663422,Lat:115319732
[03/22/20 19:58:04.916][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663423,Lat:115319732
[03/22/20 19:58:04.949][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663427,Lat:115319733
[03/22/20 19:58:04.982][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663429,Lat:115319733
[03/22/20 19:58:04.997][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663430,Lat:115319733
[03/22/20 19:58:05.010][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663431,Lat:115319734
[03/22/20 19:58:05.023][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663432,Lat:115319734
[03/22/20 19:58:05.037][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663433,Lat:115319735
[03/22/20 19:58:05.050][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663435,Lat:115319735
[03/22/20 19:58:05.063][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663436,Lat:115319735
[03/22/20 19:58:05.095][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663437,Lat:115319736
[03/22/20 19:58:05.131][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663442,Lat:115319737
[03/22/20 19:58:05.147][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663443,Lat:115319737
[03/22/20 19:58:05.160][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663444,Lat:115319738
[03/22/20 19:58:05.203][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663448,Lat:115319739
[03/22/20 19:58:05.235][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663451,Lat:115319740
